,index,3P%,3PA,3PM,AST,BLK,DRB,FG%,FGA,FGM,FT%,FTA,FTM,GP,MIN,ORB,PF,PTS,Player,REB,STL,TOV,Team
149,49,0.376,4.4,1.6,3.3,0.4,2.6,0.415,8.0,3.3,0.768,1.3,1.0,250,28.1,1.2,3.0,9.2,Patrick Beverley *,3.8,1.2,1.3,HOU
150,50,0.343,3.6,1.2,1.2,0.2,2.1,0.413,8.1,3.4,0.783,1.7,1.3,262,25.9,0.5,2.3,9.2,Ben McLemore *,2.5,0.7,1.4,SAC
151,51,0.0,0.0,0.0,2.9,1.4,6.0,0.491,7.1,3.5,0.701,3.0,2.1,606,29.1,3.3,2.9,9.1,Joakim Noah *,9.4,0.8,1.7,-
152,52,0.226,0.1,0.0,1.3,0.8,4.5,0.465,7.5,3.5,0.697,3.0,2.1,240,26.8,1.8,2.1,9.1,Michael Kidd-Gilchrist *,6.3,0.7,1.1,CHA
153,53,0.407,4.5,1.8,1.6,0.8,2.8,0.429,7.4,3.2,0.818,1.0,0.8,432,24.8,0.5,1.6,9.0,Danny Green *,3.4,1.0,1.0,-
154,54,0.323,3.1,1.0,1.5,0.2,1.6,0.438,7.8,3.4,0.78,1.5,1.2,147,24.5,0.6,1.7,9.0,Gary Harris *,2.3,1.0,1.0,DEN
155,55,0.34,2.6,0.9,3.8,1.0,5.4,0.44,7.3,3.2,0.689,2.3,1.6,358,26.2,1.3,2.8,8.9,Draymond Green *,6.7,1.3,1.7,GSW
156,56,0.1,0.0,0.0,0.6,1.8,6.8,0.67,5.3,3.6,0.429,4.0,1.7,632,27.4,3.1,2.7,8.9,DeAndre Jordan *,9.9,0.6,1.3,LAC
157,57,0.3,4.0,1.2,3.4,0.3,2.7,0.362,8.1,3.0,0.73,2.3,1.7,163,27.8,1.0,2.7,8.8,Marcus Smart *,3.7,1.5,1.5,BOS
158,58,0.352,1.5,0.5,1.9,1.0,4.3,0.457,8.0,3.6,0.712,1.4,1.0,658,23.1,1.5,2.6,8.8,Spencer Hawes *,5.8,0.4,1.5,-
159,59,0.318,0.2,0.1,1.6,1.3,4.8,0.517,6.5,3.4,0.776,2.6,2.0,253,25.6,2.3,2.5,8.8,Gorgui Dieng *,7.1,0.9,1.5,MIN
160,60,0.211,0.1,0.0,0.8,0.6,3.1,0.498,6.9,3.4,0.831,2.3,1.9,730,22.1,1.5,1.8,8.8,Brandon Bass *,4.6,0.4,1.0,-
161,61,0.342,1.3,0.5,3.5,0.5,3.2,0.495,7.4,3.6,0.717,1.4,1.0,1022,27.5,1.2,2.2,8.8,Boris Diaw *,4.4,0.6,1.8,-
162,62,0.0,0.0,0.0,0.8,1.2,6.2,0.593,5.5,3.2,0.644,3.4,2.2,1016,28.4,3.2,2.9,8.7,Tyson Chandler *,9.3,0.6,1.5,-
163,63,0.371,2.4,0.9,1.1,0.4,3.0,0.476,7.1,3.4,0.758,1.2,0.9,223,23.7,1.1,1.7,8.6,Otto Porter *,4.1,1.0,0.7,WAS
164,64,0.366,2.2,0.8,2.9,0.1,1.8,0.414,7.2,3.0,0.825,2.2,1.8,513,21.3,0.3,2.1,8.6,Jerryd Bayless *,2.1,0.6,1.5,-
165,65,0.351,2.5,0.9,3.5,0.0,1.7,0.422,7.7,3.3,0.801,1.4,1.1,673,19.4,0.3,1.5,8.6,J.J. Barea *,2.0,0.4,1.4,-
166,66,0.0,0.0,0.0,0.6,1.3,3.0,0.528,6.6,3.5,0.761,2.1,1.6,586,22.5,2.5,2.1,8.5,Robin Lopez *,5.5,0.3,1.0,-
167,67,0.301,2.0,0.6,1.4,0.6,3.7,0.455,7.2,3.3,0.67,2.1,1.4,164,22.5,1.5,1.9,8.5,Aaron Gordon *,5.2,0.7,0.9,ORL
168,68,0.349,1.6,0.6,3.4,0.1,1.7,0.463,7.2,3.3,0.832,1.5,1.2,816,22.1,0.4,1.6,8.4,Beno Udrih *,2.1,0.7,1.4,-
169,69,0.401,2.6,1.1,1.6,0.2,2.4,0.47,6.5,3.1,0.732,1.7,1.2,706,24.2,1.0,1.8,8.4,Jared Dudley *,3.4,0.9,0.9,-
170,70,0.368,2.6,1.0,1.2,0.2,3.3,0.442,7.0,3.1,0.675,1.9,1.3,484,21.6,0.9,1.6,8.4,Omri Casspi *,4.2,0.6,1.1,-
171,71,0.315,3.0,0.9,1.5,0.5,3.4,0.402,7.5,3.0,0.735,1.9,1.4,118,22.2,0.9,1.5,8.4,Frank Kaminsky *,4.3,0.5,0.8,CHA
